dt,LandAverageTemperature,LandAverageTemperatureUncertainty
1750-01-01,3.0340000000000003,3.574
1750-02-01,3.083,3.702
1750-03-01,5.626,3.076
1750-04-01,8.49,2.451
1750-05-01,11.573,2.072
1750-06-01,12.937000000000001,1.724
1750-07-01,15.868,1.911
1750-08-01,14.75,2.231
1750-09-01,11.412999999999998,2.637
1750-10-01,6.366999999999999,2.668
1750-11-01,,
1750-12-01,2.772,2.97
1751-01-01,2.495,3.469
1751-02-01,0.963,3.827
1751-03-01,5.8,3.051
1751-04-01,7.67,2.3680000000000003
1751-05-01,,
1751-06-01,13.827,1.801
1751-07-01,,
1751-08-01,14.405,2.296
1751-09-01,10.673,2.656
1751-10-01,,
1751-11-01,,
1751-12-01,,
1752-01-01,0.3480000000000003,3.789
1752-02-01,,
1752-03-01,5.806,3.192
1752-04-01,8.264999999999999,2.398
1752-05-01,,
1752-06-01,,
1752-07-01,,
1752-08-01,,
1752-09-01,,
1752-10-01,7.838999999999999,2.754
1752-11-01,7.335,2.747
1752-12-01,5.086,2.982
1753-01-01,2.039,3.478
1753-02-01,0.7149999999999999,6.341
1753-03-01,5.4239999999999995,2.929
1753-04-01,8.272,3.177
1753-05-01,12.186,3.111
1753-06-01,14.585,2.59
1753-07-01,15.092,1.929
1753-08-01,14.148,2.4530000000000003
1753-09-01,13.322000000000001,2.5380000000000003
1753-10-01,8.962,2.585
1753-11-01,5.353,2.807
1753-12-01,0.5589999999999997,4.174
1754-01-01,1.574,5.02
1754-02-01,-1.2489999999999997,7.492000000000001
1754-03-01,3.677,3.3360000000000003
1754-04-01,11.61,3.293
1754-05-01,11.936,3.937
1754-06-01,14.388,3.366
1754-07-01,14.681,2.401
1754-08-01,13.556,1.892
1754-09-01,11.129000000000001,2.318
1754-10-01,9.582,2.529
1754-11-01,6.1610000000000005,3.048
1754-12-01,4.587,3.299
1755-01-01,1.067,4.6930000000000005
1755-02-01,-0.1080000000000001,5.857
1755-03-01,3.6069999999999998,3.909
1755-04-01,9.263,3.372
1755-05-01,12.880999999999998,4.151
1755-06-01,15.38,5.322
1755-07-01,14.397,1.936
1755-08-01,13.515,2.381
1755-09-01,11.773,3.4160000000000004
1755-10-01,9.97,3.931
1755-11-01,5.957999999999999,4.021
1755-12-01,2.5639999999999996,3.215
1756-01-01,3.887,3.513
1756-02-01,5.666,4.265
1756-03-01,4.192,5.574
1756-04-01,10.042,3.752
1756-05-01,14.163999999999998,2.608
1756-06-01,14.547,3.213
1756-07-01,13.905999999999999,2.192
1756-08-01,13.437000000000001,2.175
1756-09-01,12.652000000000001,2.954
1756-10-01,7.3119999999999985,2.201
1756-11-01,4.225,2.86
1756-12-01,2.165,3.841
1757-01-01,-0.27600000000000025,4.022
1757-02-01,3.704,4.261
1757-03-01,4.529,3.638
1757-04-01,8.245999999999999,4.3039999999999985
1757-05-01,13.039000000000001,4.98
1757-06-01,17.115,4.59
1757-07-01,17.61,4.322
1757-08-01,17.91,4.035
1757-09-01,14.852,3.189
1757-10-01,6.481999999999998,3.173
1757-11-01,4.032,2.643
1757-12-01,1.0210000000000004,5.155
1758-01-01,-1.5029999999999997,7.349
1758-02-01,0.8059999999999999,3.753
1758-03-01,3.765,3.3680000000000003
1758-04-01,7.209999999999999,2.986
1758-05-01,9.715,3.091
1758-06-01,13.139000000000001,2.055
1758-07-01,13.847000000000001,3.608
1758-08-01,11.818,2.979
1758-09-01,10.028,2.347
1758-10-01,1.8939999999999992,2.332
1758-11-01,6.955,3.2430000000000003
1758-12-01,3.249,3.244
1759-01-01,5.013999999999999,3.673
1759-02-01,4.082,5.966
1759-03-01,4.52,3.958
1759-04-01,5.983,3.159
1759-05-01,10.189,2.503
1759-06-01,13.512,2.232
1759-07-01,12.526,2.65
1759-08-01,14.587,5.626
1759-09-01,12.626,3.235
1759-10-01,8.267000000000001,2.983
1759-11-01,4.268000000000002,3.167
1759-12-01,0.2469999999999999,4.995
1760-01-01,-0.8109999999999999,4.567
1760-02-01,2.436,3.535
1760-03-01,1.864,4.666
1760-04-01,7.435999999999999,2.669
1760-05-01,10.661,1.857
1760-06-01,11.945,2.14
1760-07-01,12.887,2.567
1760-08-01,13.917,2.789
1760-09-01,11.197000000000001,3.865
1760-10-01,6.7010000000000005,3.422
1760-11-01,5.436,2.3480000000000003
1760-12-01,2.553,2.642
1761-01-01,0.6000000000000001,4.779
1761-02-01,2.735,3.775
1761-03-01,5.976,3.225
1761-04-01,7.321000000000001,1.652
1761-05-01,13.451,1.709
1761-06-01,16.820999999999998,3.1660000000000004
1761-07-01,19.021,2.696
1761-08-01,15.331,2.013
1761-09-01,12.534999999999998,4.075
1761-10-01,7.2269999999999985,3.932
1761-11-01,5.0889999999999995,2.248
1761-12-01,-0.8370000000000002,4.468
1762-01-01,6.8660000000000005,3.776
1762-02-01,4.801,7.88
1762-03-01,3.5280000000000005,4.1389999999999985
1762-04-01,9.019,2.199
1762-05-01,10.880999999999998,3.044
1762-06-01,13.499,3.3110000000000004
1762-07-01,14.72,1.966
1762-08-01,13.992,3.329
1762-09-01,10.326,3.2260000000000004
1762-10-01,6.156000000000001,2.879
1762-11-01,6.367000000000001,3.354
1762-12-01,3.123,3.188
1763-01-01,1.3690000000000002,6.415
1763-02-01,0.7709999999999999,4.102
1763-03-01,1.5760000000000003,4.635
1763-04-01,7.870999999999999,2.275
1763-05-01,10.701,2.736
1763-06-01,12.271,2.224
1763-07-01,16.391,1.754
1763-08-01,14.126,2.157
1763-09-01,11.378,2.827
1763-10-01,5.535,2.9610000000000003
1763-11-01,4.588,2.08
1763-12-01,3.384,3.653
1764-01-01,1.7409999999999999,3.628
1764-02-01,6.162000000000001,2.8680000000000003
1764-03-01,5.521,2.488
1764-04-01,7.879999999999999,3.159
1764-05-01,11.175,4.55
1764-06-01,11.723,1.707
1764-07-01,12.507,3.256
